,record_id,user_id,age,gender,region_name,urban_level,is_internet_user,isp,connection_type,tariff_name,daily_hours,usage_purpose,monthly_cost_egp,download_speed_mbps,year,Reason_Not_Using_Internet,Age_Group,Internet_Speed_In_Region
1271,1272,1272,64,Female,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 40GB,2.7,News,230,25,2021,IS_Internet_User,55+,12.0
1272,1273,1273,24,Female,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 40GB,7.1,Streaming,260,25,2022,IS_Internet_User,15-24,12.0
1273,1274,1274,41,Male,Cairo,0.95,1,Vodafone,Fixed Broadband,Vodafone Max,5.8,Work,650,100,2018,IS_Internet_User,35-44,15.8
1274,1275,1275,47,Female,Delta,0.6,0,No is Sim Owner,,,0.0,,0,0,2016,Cannot afford device,45-54,14.0
1275,1276,1276,18,Female,Alexandria,0.92,1,Etisalat,Fixed Broadband,Etisalat Extreme,7.8,Streaming,620,100,2016,IS_Internet_User,15-24,13.7
1276,1277,1277,36,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,4.4,News,200,20,2018,IS_Internet_User,35-44,14.0
1277,1278,1278,43,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 80GB,3.4,News,350,30,2021,IS_Internet_User,35-44,15.8
1278,1279,1279,20,Female,Upper Egypt,0.4,1,Orange,Fixed Broadband,Orange Extra,7.0,Social Media,330,50,2016,IS_Internet_User,15-24,12.0
1279,1280,1280,27,Male,Delta,0.6,1,WE,Fixed Broadband,WE Gold,5.6,Streaming,700,100,2023,IS_Internet_User,25-34,14.0
1280,1281,1281,48,Male,Alexandria,0.92,1,Etisalat,Mobile Data,Etisalat Mix 40GB,4.2,Communication,230,25,2017,IS_Internet_User,45-54,13.7
1281,1282,1282,55,Female,Cairo,0.95,1,Vodafone,Fixed Broadband,Vodafone Basic,2.7,News,200,30,2017,IS_Internet_User,55+,15.8
1282,1283,1283,16,Female,Cairo,0.95,0,WE,,,0.0,,0,0,2017,Low digital literacy,15-24,15.8
1283,1284,1284,32,Male,Cairo,0.95,0,Orange,,,0.0,,0,0,2023,No perceived need,25-34,15.8
1284,1285,1285,61,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 80GB,2.5,News,350,30,2021,IS_Internet_User,55+,15.8
1285,1286,1286,19,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,5.9,Gaming,120,10,2018,IS_Internet_User,15-24,14.0
1286,1287,1287,50,Male,Cairo,0.95,0,No is Sim Owner,,,0.0,,0,0,2021,Cannot afford device,45-54,15.8
1287,1288,1288,35,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 20GB,5.6,News,120,10,2018,IS_Internet_User,35-44,17.1
1288,1289,1289,26,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 20GB,6.1,Work,120,10,2021,IS_Internet_User,25-34,12.0
1289,1290,1290,43,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,3.6,Streaming,350,30,2023,IS_Internet_User,35-44,17.1
1290,1291,1291,67,Female,Cairo,0.95,1,WE,Fixed Broadband,WE Bronze,3.1,Communication,250,30,2017,IS_Internet_User,55+,15.8
1291,1292,1292,15,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,5.8,Streaming,200,20,2016,IS_Internet_User,15-24,17.1
1292,1293,1293,29,Male,Giza,0.9,0,WE,,,0.0,,0,0,2018,Low digital literacy,25-34,17.1
1293,1294,1294,21,Male,Delta,0.6,1,Etisalat,Fixed Broadband,Etisalat Home,5.7,Streaming,190,30,2019,IS_Internet_User,15-24,14.0
1294,1295,1295,36,Male,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 80GB,4.8,Streaming,410,40,2020,IS_Internet_User,35-44,12.0
1295,1296,1296,60,Female,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 40GB,2.7,News,260,25,2016,IS_Internet_User,55+,12.0
1296,1297,1297,40,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,3.2,News,200,20,2023,IS_Internet_User,35-44,12.0
1297,1298,1298,44,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,4.9,Streaming,120,10,2019,IS_Internet_User,35-44,15.8
1298,1299,1299,38,Female,Delta,0.6,1,WE,Fixed Broadband,WE Start,4.9,Work,140,10,2022,IS_Internet_User,35-44,14.0
1299,1300,1300,19,Female,Giza,0.9,1,WE,Fixed Broadband,WE Start,5.2,Social Media,140,10,2020,IS_Internet_User,15-24,17.1
1300,1301,1301,17,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,5.4,Social Media,120,10,2019,IS_Internet_User,15-24,14.0
1301,1302,1302,45,Female,Delta,0.6,0,Etisalat,,,0.0,,0,0,2018,No perceived need,45-54,14.0
1302,1303,1303,18,Male,Upper Egypt,0.4,0,No is Sim Owner,,,0.0,,0,0,2018,Cannot afford device,15-24,12.0
1303,1304,1304,34,Male,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 20GB,6.3,Social Media,130,15,2016,IS_Internet_User,25-34,14.0
1304,1305,1305,32,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 80GB,4.5,Work,350,30,2017,IS_Internet_User,25-34,15.8
1305,1306,1306,57,Male,Delta,0.6,0,WE,,,0.0,,0,0,2018,No internet coverage,55+,14.0
1306,1307,1307,43,Female,Delta,0.6,0,WE,,,0.0,,0,0,2017,Low digital literacy,35-44,14.0
1307,1308,1308,28,Male,Cairo,0.95,0,WE,,,0.0,,0,0,2019,No internet coverage,25-34,15.8
1308,1309,1309,19,Male,Upper Egypt,0.4,0,No is Sim Owner,,,0.0,,0,0,2019,Cannot afford device,15-24,12.0
1309,1310,1310,22,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,4.9,Streaming,200,20,2022,IS_Internet_User,15-24,12.0
1310,1311,1311,31,Female,Delta,0.6,1,WE,Fixed Broadband,WE Bronze,5.6,Streaming,250,30,2015,IS_Internet_User,25-34,14.0
1311,1312,1312,51,Male,Cairo,0.95,1,Orange,Fixed Broadband,Orange Extra,3.8,News,330,50,2023,IS_Internet_User,45-54,15.8
1312,1313,1313,27,Female,Alexandria,0.92,1,Vodafone,Mobile Data,Vodafone Red 40GB,4.8,Work,260,25,2016,IS_Internet_User,25-34,13.7
1313,1314,1314,30,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 20GB,4.5,Streaming,120,10,2015,IS_Internet_User,25-34,13.7
1314,1315,1315,43,Female,Giza,0.9,1,Etisalat,Mobile Data,Etisalat Mix 40GB,5.1,Work,230,25,2020,IS_Internet_User,35-44,17.1
1315,1316,1316,51,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,3.6,Communication,350,30,2016,IS_Internet_User,45-54,14.0
1316,1317,1317,67,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,3.1,Communication,200,20,2023,IS_Internet_User,55+,15.8
1317,1318,1318,32,Female,Giza,0.9,1,WE,Fixed Broadband,WE Start,5.7,Streaming,140,10,2018,IS_Internet_User,25-34,17.1
1318,1319,1319,28,Male,Upper Egypt,0.4,1,Etisalat,Fixed Broadband,Etisalat Power,5.7,Work,340,50,2017,IS_Internet_User,25-34,12.0
1319,1320,1320,29,Male,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 20GB,5.6,Work,130,15,2015,IS_Internet_User,25-34,12.0
1320,1321,1321,36,Male,Delta,0.6,1,Orange,Mobile Data,Orange Go 40GB,5.1,News,240,25,2023,IS_Internet_User,35-44,14.0
1321,1322,1322,18,Female,Cairo,0.95,1,Etisalat,Mobile Data,Etisalat Mix 40GB,7.3,Social Media,230,25,2023,IS_Internet_User,15-24,15.8
1322,1323,1323,72,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,2.7,Communication,200,20,2016,IS_Internet_User,55+,17.1
1323,1324,1324,54,Male,Giza,0.9,1,Vodafone,Fixed Broadband,Vodafone Basic,4.3,News,200,30,2021,IS_Internet_User,45-54,17.1
1324,1325,1325,19,Male,Cairo,0.95,1,Vodafone,Fixed Broadband,Vodafone Plus,4.8,Social Media,350,50,2021,IS_Internet_User,15-24,15.8
1325,1326,1326,23,Female,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 40GB,5.9,Gaming,260,25,2017,IS_Internet_User,15-24,17.1
1326,1327,1327,27,Male,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 20GB,4.6,Work,150,15,2017,IS_Internet_User,25-34,15.8
1327,1328,1328,28,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,4.2,Social Media,120,10,2022,IS_Internet_User,25-34,15.8
1328,1329,1329,54,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 20GB,2.8,Communication,130,15,2016,IS_Internet_User,45-54,14.0
1329,1330,1330,29,Male,Cairo,0.95,0,No is Sim Owner,,,0.0,,0,0,2022,Cannot afford device,25-34,15.8
1330,1331,1331,22,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,6.6,Gaming,120,10,2024,IS_Internet_User,15-24,15.8
1331,1332,1332,25,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,4.3,Work,120,10,2022,IS_Internet_User,25-34,14.0
1332,1333,1333,42,Female,Delta,0.6,1,Orange,Fixed Broadband,Orange Extra,5.3,Work,330,50,2020,IS_Internet_User,35-44,14.0
1333,1334,1334,48,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,4.6,News,200,20,2020,IS_Internet_User,45-54,14.0
1334,1335,1335,26,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,4.2,Social Media,200,20,2015,IS_Internet_User,25-34,12.0
1335,1336,1336,74,Male,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 80GB,2.1,News,450,40,2020,IS_Internet_User,55+,14.0
1336,1337,1337,42,Female,Delta,0.6,0,No is Sim Owner,,,0.0,,0,0,2023,Cannot afford device,35-44,14.0
1337,1338,1338,21,Female,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 80GB,6.9,Social Media,450,40,2015,IS_Internet_User,15-24,15.8
1338,1339,1339,50,Female,Upper Egypt,0.4,1,Orange,Mobile Data,Orange Go 80GB,4.5,News,420,40,2018,IS_Internet_User,45-54,12.0
1339,1340,1340,54,Female,Delta,0.6,1,Orange,Mobile Data,Orange Go 20GB,3.6,Communication,140,15,2016,IS_Internet_User,45-54,14.0
1340,1341,1341,41,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,3.8,News,120,10,2017,IS_Internet_User,35-44,15.8
1341,1342,1342,52,Female,Giza,0.9,1,Vodafone,Fixed Broadband,Vodafone Max,5.3,Communication,650,100,2017,IS_Internet_User,45-54,17.1
1342,1343,1343,22,Male,Alexandria,0.92,1,Orange,Fixed Broadband,Orange Ultra,8.0,Social Media,600,100,2017,IS_Internet_User,15-24,13.7
1343,1344,1344,26,Female,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 20GB,4.3,Work,120,10,2021,IS_Internet_User,25-34,12.0
1344,1345,1345,49,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,3.2,News,200,20,2017,IS_Internet_User,45-54,17.1
1345,1346,1346,23,Male,Alexandria,0.92,1,Etisalat,Fixed Broadband,Etisalat Extreme,7.1,Social Media,620,100,2024,IS_Internet_User,15-24,13.7
1346,1347,1347,34,Female,Giza,0.9,0,No is Sim Owner,,,0.0,,0,0,2023,Cannot afford device,25-34,17.1
1347,1348,1348,41,Male,Giza,0.9,1,WE,Fixed Broadband,WE Start,5.1,Streaming,140,10,2016,IS_Internet_User,35-44,17.1
1348,1349,1349,20,Female,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 80GB,7.2,Social Media,410,40,2017,IS_Internet_User,15-24,12.0
1349,1350,1350,65,Male,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 20GB,3.0,News,130,15,2021,IS_Internet_User,55+,14.0
1350,1351,1351,31,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,5.1,Streaming,350,30,2023,IS_Internet_User,25-34,17.1
1351,1352,1352,34,Female,Cairo,0.95,1,Etisalat,Mobile Data,Etisalat Mix 20GB,5.6,Social Media,130,15,2020,IS_Internet_User,25-34,15.8
1352,1353,1353,27,Female,Giza,0.9,1,WE,Fixed Broadband,WE Bronze,6.3,Work,250,30,2017,IS_Internet_User,25-34,17.1
1353,1354,1354,74,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 80GB,2.1,Communication,410,40,2019,IS_Internet_User,55+,14.0
1354,1355,1355,23,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 80GB,7.7,Gaming,350,30,2022,IS_Internet_User,15-24,15.8
1355,1356,1356,29,Male,Giza,0.9,1,Etisalat,Mobile Data,Etisalat Mix 40GB,5.9,Streaming,230,25,2018,IS_Internet_User,25-34,17.1
1356,1357,1357,25,Female,Delta,0.6,1,WE,Fixed Broadband,WE Gold,7.3,Streaming,700,100,2017,IS_Internet_User,25-34,14.0
1357,1358,1358,55,Female,Giza,0.9,1,Etisalat,Mobile Data,Etisalat Mix 80GB,2.7,Communication,410,40,2021,IS_Internet_User,55+,17.1
1358,1359,1359,51,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,2.8,News,200,20,2023,IS_Internet_User,45-54,14.0
1359,1360,1360,31,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,4.6,Social Media,350,30,2019,IS_Internet_User,25-34,17.1
1360,1361,1361,22,Female,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 40GB,6.7,Social Media,260,25,2017,IS_Internet_User,15-24,14.0
1361,1362,1362,48,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,3.2,Communication,350,30,2024,IS_Internet_User,45-54,14.0
1362,1363,1363,46,Female,Upper Egypt,0.4,1,Orange,Mobile Data,Orange Go 20GB,4.0,News,140,15,2017,IS_Internet_User,45-54,12.0
1363,1364,1364,15,Male,Upper Egypt,0.4,0,No is Sim Owner,,,0.0,,0,0,2015,Cannot afford device,15-24,12.0
1364,1365,1365,36,Female,Delta,0.6,0,Etisalat,,,0.0,,0,0,2017,Low digital literacy,35-44,14.0
1365,1366,1366,51,Male,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 40GB,3.2,News,260,25,2021,IS_Internet_User,45-54,15.8
1366,1367,1367,57,Female,Upper Egypt,0.4,1,Etisalat,Fixed Broadband,Etisalat Extreme,3.4,News,620,100,2020,IS_Internet_User,55+,12.0
1367,1368,1368,15,Male,Cairo,0.95,1,WE,Fixed Broadband,WE Gold,5.8,Social Media,700,100,2015,IS_Internet_User,15-24,15.8
1368,1369,1369,73,Male,Delta,0.6,1,WE,Fixed Broadband,WE Silver,2.9,News,400,50,2024,IS_Internet_User,55+,14.0
1369,1370,1370,17,Male,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 80GB,6.0,Social Media,450,40,2016,IS_Internet_User,15-24,12.0
1370,1371,1371,30,Male,Upper Egypt,0.4,0,Orange,,,0.0,,0,0,2021,Low digital literacy,25-34,12.0
1371,1372,1372,25,Male,Upper Egypt,0.4,1,Etisalat,Mobile Data,Etisalat Mix 80GB,5.3,Streaming,410,40,2018,IS_Internet_User,25-34,12.0
1372,1373,1373,16,Male,Delta,0.6,0,WE,,,0.0,,0,0,2015,No perceived need,15-24,14.0
1373,1374,1374,33,Male,Giza,0.9,1,Vodafone,Fixed Broadband,Vodafone Basic,5.3,Work,200,30,2017,IS_Internet_User,25-34,17.1
1374,1375,1375,36,Male,Upper Egypt,0.4,1,WE,Fixed Broadband,WE Start,4.5,Work,140,10,2023,IS_Internet_User,35-44,12.0
1375,1376,1376,29,Male,Delta,0.6,1,Orange,Mobile Data,Orange Go 40GB,5.2,Work,240,25,2018,IS_Internet_User,25-34,14.0
1376,1377,1377,49,Female,Upper Egypt,0.4,1,Vodafone,Fixed Broadband,Vodafone Plus,3.1,News,350,50,2017,IS_Internet_User,45-54,12.0
1377,1378,1378,73,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 40GB,2.4,News,200,20,2016,IS_Internet_User,55+,17.1
1378,1379,1379,35,Female,Cairo,0.95,0,No is Sim Owner,,,0.0,,0,0,2018,Cannot afford device,35-44,15.8
1379,1380,1380,59,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,2.5,Communication,200,20,2016,IS_Internet_User,55+,15.8
1380,1381,1381,33,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 20GB,4.8,Work,150,15,2019,IS_Internet_User,25-34,17.1
1381,1382,1382,21,Female,Cairo,0.95,1,Etisalat,Mobile Data,Etisalat Mix 20GB,7.4,Social Media,130,15,2018,IS_Internet_User,15-24,15.8
1382,1383,1383,30,Female,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,5.7,Social Media,350,30,2017,IS_Internet_User,25-34,14.0
1383,1384,1384,20,Male,Alexandria,0.92,0,Vodafone,,,0.0,,0,0,2024,No internet coverage,15-24,13.7
1384,1385,1385,62,Female,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 20GB,1.8,News,150,15,2016,IS_Internet_User,55+,15.8
1385,1386,1386,20,Male,Giza,0.9,1,Orange,Mobile Data,Orange Go 40GB,6.7,Social Media,240,25,2018,IS_Internet_User,15-24,17.1
1386,1387,1387,29,Male,Giza,0.9,1,WE,Fixed Broadband,WE Bronze,4.3,Work,250,30,2016,IS_Internet_User,25-34,17.1
1387,1388,1388,37,Female,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 80GB,4.7,Work,450,40,2016,IS_Internet_User,35-44,12.0
1388,1389,1389,53,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 40GB,3.4,Communication,200,20,2015,IS_Internet_User,45-54,14.0
1389,1390,1390,47,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 20GB,3.2,News,130,15,2022,IS_Internet_User,45-54,14.0
1390,1391,1391,54,Male,Cairo,0.95,1,WE,Fixed Broadband,WE Bronze,3.0,News,250,30,2021,IS_Internet_User,45-54,15.8
1391,1392,1392,34,Female,Cairo,0.95,1,Orange,Fixed Broadband,Orange Ultra,6.8,Streaming,600,100,2018,IS_Internet_User,25-34,15.8
1392,1393,1393,44,Female,Alexandria,0.92,0,Vodafone,,,0.0,,0,0,2020,No internet coverage,35-44,13.7
1393,1394,1394,22,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 40GB,6.2,Gaming,260,25,2019,IS_Internet_User,15-24,17.1
1394,1395,1395,16,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 40GB,7.6,Streaming,200,20,2016,IS_Internet_User,15-24,13.7
1395,1396,1396,28,Female,Cairo,0.95,1,Orange,Mobile Data,Orange Go 20GB,6.4,Streaming,140,15,2023,IS_Internet_User,25-34,15.8
1396,1397,1397,22,Female,Cairo,0.95,0,Orange,,,0.0,,0,0,2023,No perceived need,15-24,15.8
1397,1398,1398,27,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 80GB,5.5,Streaming,350,30,2021,IS_Internet_User,25-34,13.7
1398,1399,1399,55,Female,Upper Egypt,0.4,1,WE,Fixed Broadband,WE Start,2.5,News,140,10,2018,IS_Internet_User,55+,12.0
1399,1400,1400,43,Female,Cairo,0.95,0,WE,,,0.0,,0,0,2017,Low digital literacy,35-44,15.8
1400,1401,1401,23,Female,Cairo,0.95,0,Orange,,,0.0,,0,0,2017,No perceived need,15-24,15.8
1401,1402,1402,33,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,5.0,Streaming,200,20,2016,IS_Internet_User,25-34,15.8
1402,1403,1403,30,Male,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,6.6,Social Media,350,30,2019,IS_Internet_User,25-34,17.1
1403,1404,1404,64,Female,Giza,0.9,1,WE,Fixed Broadband,WE Start,2.3,News,140,10,2018,IS_Internet_User,55+,17.1
1404,1405,1405,39,Male,Upper Egypt,0.4,0,No is Sim Owner,,,0.0,,0,0,2022,Cannot afford device,35-44,12.0
1405,1406,1406,44,Male,Cairo,0.95,0,WE,,,0.0,,0,0,2024,Low digital literacy,35-44,15.8
1406,1407,1407,52,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 20GB,3.3,News,150,15,2021,IS_Internet_User,45-54,17.1
1407,1408,1408,50,Male,Alexandria,0.92,1,Vodafone,Mobile Data,Vodafone Red 20GB,2.6,News,150,15,2021,IS_Internet_User,45-54,13.7
1408,1409,1409,46,Female,Cairo,0.95,1,WE,Fixed Broadband,WE Silver,4.7,News,400,50,2020,IS_Internet_User,45-54,15.8
1409,1410,1410,29,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,5.2,Streaming,350,30,2022,IS_Internet_User,25-34,12.0
1410,1411,1411,69,Female,Giza,0.9,0,Vodafone,,,0.0,,0,0,2015,No internet coverage,55+,17.1
1411,1412,1412,20,Male,Delta,0.6,1,Etisalat,Fixed Broadband,Etisalat Home,7.3,Gaming,190,30,2017,IS_Internet_User,15-24,14.0
1412,1413,1413,67,Male,Giza,0.9,1,Orange,Mobile Data,Orange Go 20GB,2.2,News,140,15,2022,IS_Internet_User,55+,17.1
1413,1414,1414,39,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 40GB,3.5,Work,200,20,2020,IS_Internet_User,35-44,13.7
1414,1415,1415,31,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 40GB,5.4,Streaming,200,20,2015,IS_Internet_User,25-34,12.0
1415,1416,1416,17,Female,Alexandria,0.92,1,Vodafone,Fixed Broadband,Vodafone Max,5.6,Streaming,650,100,2021,IS_Internet_User,15-24,13.7
1416,1417,1417,34,Male,Alexandria,0.92,1,Vodafone,Mobile Data,Vodafone Red 40GB,6.0,Social Media,260,25,2021,IS_Internet_User,25-34,13.7
1417,1418,1418,18,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,6.4,Streaming,120,10,2019,IS_Internet_User,15-24,14.0
1418,1419,1419,18,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 40GB,6.7,Gaming,200,20,2023,IS_Internet_User,15-24,13.7
1419,1420,1420,44,Male,Upper Egypt,0.4,1,WE,Fixed Broadband,WE Bronze,3.7,Streaming,250,30,2021,IS_Internet_User,35-44,12.0
1420,1421,1421,15,Male,Cairo,0.95,0,Vodafone,,,0.0,,0,0,2021,No perceived need,15-24,15.8
1421,1422,1422,15,Female,Cairo,0.95,1,Etisalat,Mobile Data,Etisalat Mix 20GB,6.5,Social Media,130,15,2018,IS_Internet_User,15-24,15.8
1422,1423,1423,48,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 80GB,3.4,Communication,350,30,2019,IS_Internet_User,45-54,13.7
1423,1424,1424,58,Male,Giza,0.9,1,Orange,Mobile Data,Orange Go 40GB,2.2,Communication,240,25,2020,IS_Internet_User,55+,17.1
1424,1425,1425,56,Male,Cairo,0.95,1,Etisalat,Mobile Data,Etisalat Mix 80GB,2.2,News,410,40,2019,IS_Internet_User,55+,15.8
1425,1426,1426,42,Female,Delta,0.6,1,WE,Fixed Broadband,WE Gold,4.3,Work,700,100,2020,IS_Internet_User,35-44,14.0
1426,1427,1427,30,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 20GB,4.9,Streaming,120,10,2020,IS_Internet_User,25-34,15.8
1427,1428,1428,50,Female,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 80GB,4.3,Communication,450,40,2018,IS_Internet_User,45-54,17.1
1428,1429,1429,75,Male,Delta,0.6,1,WE,Fixed Broadband,WE Start,2.0,News,140,10,2024,IS_Internet_User,55+,14.0
1429,1430,1430,46,Male,Upper Egypt,0.4,1,WE,Mobile Data,WE Mobile 80GB,2.9,Communication,350,30,2022,IS_Internet_User,45-54,12.0
1430,1431,1431,46,Female,Delta,0.6,0,Etisalat,,,0.0,,0,0,2019,No internet coverage,45-54,14.0
1431,1432,1432,52,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 80GB,4.7,News,350,30,2018,IS_Internet_User,45-54,15.8
1432,1433,1433,51,Female,Giza,0.9,1,Orange,Mobile Data,Orange Go 80GB,4.1,News,420,40,2022,IS_Internet_User,45-54,17.1
1433,1434,1434,16,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,7.4,Gaming,200,20,2017,IS_Internet_User,15-24,15.8
1434,1435,1435,44,Male,Upper Egypt,0.4,1,Orange,Mobile Data,Orange Go 40GB,3.8,Streaming,240,25,2018,IS_Internet_User,35-44,12.0
1435,1436,1436,41,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 80GB,4.6,Streaming,350,30,2022,IS_Internet_User,35-44,14.0
1436,1437,1437,33,Male,Delta,0.6,1,Orange,Mobile Data,Orange Go 40GB,5.2,Streaming,240,25,2017,IS_Internet_User,25-34,14.0
1437,1438,1438,55,Female,Cairo,0.95,1,Vodafone,Mobile Data,Vodafone Red 80GB,1.9,News,450,40,2023,IS_Internet_User,55+,15.8
1438,1439,1439,43,Male,Upper Egypt,0.4,1,WE,Fixed Broadband,WE Silver,4.1,News,400,50,2017,IS_Internet_User,35-44,12.0
1439,1440,1440,38,Female,Giza,0.9,1,Etisalat,Fixed Broadband,Etisalat Home,3.4,Work,190,30,2017,IS_Internet_User,35-44,17.1
1440,1441,1441,29,Male,Cairo,0.95,1,WE,Fixed Broadband,WE Bronze,6.5,Work,250,30,2023,IS_Internet_User,25-34,15.8
1441,1442,1442,16,Female,Giza,0.9,1,WE,Fixed Broadband,WE Silver,4.9,Social Media,400,50,2017,IS_Internet_User,15-24,17.1
1442,1443,1443,31,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 20GB,6.4,Work,150,15,2020,IS_Internet_User,25-34,17.1
1443,1444,1444,38,Male,Giza,0.9,1,Etisalat,Fixed Broadband,Etisalat Power,5.4,News,340,50,2021,IS_Internet_User,35-44,17.1
1444,1445,1445,75,Male,Delta,0.6,1,WE,Fixed Broadband,WE Bronze,2.2,News,250,30,2020,IS_Internet_User,55+,14.0
1445,1446,1446,63,Male,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 40GB,2.0,Communication,230,25,2021,IS_Internet_User,55+,14.0
1446,1447,1447,20,Male,Alexandria,0.92,1,Vodafone,Mobile Data,Vodafone Red 40GB,5.1,Social Media,260,25,2017,IS_Internet_User,15-24,13.7
1447,1448,1448,38,Male,Upper Egypt,0.4,0,Vodafone,,,0.0,,0,0,2019,No internet coverage,35-44,12.0
1448,1449,1449,45,Male,Upper Egypt,0.4,1,Vodafone,Mobile Data,Vodafone Red 40GB,3.4,Communication,260,25,2016,IS_Internet_User,45-54,12.0
1449,1450,1450,17,Female,Giza,0.9,0,No is Sim Owner,,,0.0,,0,0,2016,Cannot afford device,15-24,17.1
1450,1451,1451,71,Female,Delta,0.6,1,Etisalat,Mobile Data,Etisalat Mix 20GB,1.8,Communication,130,15,2021,IS_Internet_User,55+,14.0
1451,1452,1452,35,Male,Cairo,0.95,1,Orange,Mobile Data,Orange Go 80GB,3.7,Work,420,40,2018,IS_Internet_User,35-44,15.8
1452,1453,1453,26,Male,Upper Egypt,0.4,1,WE,Fixed Broadband,WE Start,4.8,Work,140,10,2016,IS_Internet_User,25-34,12.0
1453,1454,1454,23,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 80GB,6.9,Social Media,450,40,2022,IS_Internet_User,15-24,17.1
